kernel,bop/s,elapsed_ms,ndim,n_vectors,n_queries,knn
JACCARD_B128_VPOPCNTQ_VPSHUFB_PDX,178.39448095995385,0.11755700001003788,128,8192,10,10
JACCARD_B128_VPOPCNTQ_PRECOMPUTED_PDX,211.00019118115083,0.09939099999201062,128,8192,10,10
JACCARD_B128_VPSHUFB_PRECOMPUTED_PDX,180.30866060717048,0.11630899996362132,128,8192,10,10
JACCARD_U64X2_C,181.0930769957758,1.1580519999938588,128,8192,100,10
JACCARD_B128_VPSHUFB_SAD,57.1874382181987,3.6671550000164643,128,8192,100,10
JACCARD_B128_VPOPCNTQ,81.81099324353629,2.563410999982807,128,8192,100,10
JACCARD_B128_VPOPCNTQ_VPSHUFB,67.48854917853697,3.1074190000026647,128,8192,100,10
JACCARD_B128_VPOPCNTQ_PRECOMPUTED,109.24464651631969,1.9196839999722215,128,8192,100,10
JACCARD_B128_VPSHUFB_SAD_PRECOMPUTED,84.33368948921435,2.48673100003316,128,8192,100,10
JACCARD_B128_VPOPCNTQ_PDX,187.12124524643184,1.120744999980161,128,8192,100,10
JACCARD_B128_VPSHUFB_PDX,151.91931835990707,1.3804380000124183,128,8192,100,10
JACCARD_B128_VPOPCNTQ_VPSHUFB_PDX,169.1753681785243,1.2396319999652405,128,8192,100,10
JACCARD_B128_VPOPCNTQ_PRECOMPUTED_PDX,197.91249070818557,1.0596359999794913,128,8192,100,10
JACCARD_B128_VPSHUFB_PRECOMPUTED_PDX,172.05255221431023,1.2189020000050732,128,8192,100,10
JACCARD_U64X2_C,175.86208313466153,11.92498099999284,128,8192,1000,10
JACCARD_B128_VPSHUFB_SAD,57.18059461269337,36.67593900001975,128,8192,1000,10
JACCARD_B128_VPOPCNTQ,81.93007163802469,25.596853000024566,128,8192,1000,10
JACCARD_B128_VPOPCNTQ_VPSHUFB,67.95040310594322,30.862980999984302,128,8192,1000,10
JACCARD_B128_VPOPCNTQ_PRECOMPUTED,111.72172704896184,18.77121000001125,128,8192,1000,10
